date,artist,weeks,current,peak,previous
2019/12/7,Post Malone,179,1,1,2
2019/12/7,Billie Eilish,66,2,1,3
2019/12/7,Jason Aldean,261,3,1,66
2019/12/7,Taylor Swift,279,4,1,4
2019/12/7,Lizzo,32,5,2,6
2019/12/7,Luke Combs,143,6,1,5
2019/12/7,DaBaby,33,7,2,7
2019/12/7,Trippie Redd,9,8,8,0
2019/12/7,Coldplay,130,9,4,0
2019/12/7,Khalid,143,10,1,9
2019/12/7,Lewis Capaldi,28,11,11,16
2019/12/7,The Beatles,106,12,3,40
2019/12/7,Ed Sheeran,277,13,1,10
2019/12/7,Drake,283,14,1,13
2019/12/7,Jonas Brothers,39,15,1,14
2019/12/7,Queen,83,16,1,30
2019/12/7,Maroon 5,283,17,1,20
2019/12/7,Lil Baby,81,18,8,15
2019/12/7,Selena Gomez,212,19,2,22
2019/12/7,YoungBoy Never Broke Again,70,20,2,11
2019/12/7,Halsey,207,21,1,18
2019/12/7,Ariana Grande,251,22,1,26
2019/12/7,Travis Scott,186,23,1,19
2019/12/7,BTS,164,24,1,17
2019/12/7,Lil Nas X,37,25,3,24
2019/12/7,Frank Sinatra,30,26,26,53
2019/12/7,Mariah Carey,38,27,8,32
2019/12/7,Pentatonix,64,28,1,29
2019/12/7,Dan + Shay,105,29,11,21
2019/12/7,Chris Brown,231,30,1,25
2019/12/7,Camila Cabello,150,31,1,31
2019/12/7,Shawn Mendes,251,32,1,35
2019/12/7,Justin Bieber,249,33,1,36
2019/12/7,Panic! At The Disco,167,34,1,45
2019/12/7,Kane Brown,128,35,2,28
2019/12/7,YNW Melly,22,36,35,0
2019/12/7,Old Dominion,145,37,10,27
2019/12/7,Michael Buble,45,38,3,62
2019/12/7,Bad Bunny,89,39,23,71
2019/12/7,Summer Walker,9,40,3,34
2019/12/7,Tones And I,5,41,41,47
2019/12/7,Andy Williams,24,42,22,0
2019/12/7,The Weeknd,229,43,1,0
2019/12/7,Bing Crosby,28,44,23,84
2019/12/7,Lady Antebellum,59,45,6,8
2019/12/7,Juice WRLD,80,46,1,41
2019/12/7,Elvis Presley,61,47,20,48
2019/12/7,Arizona Zervas,4,48,48,51
2019/12/7,Sam Smith,186,49,1,33
2019/12/7,SHAED,17,50,38,38
2019/12/7,Imagine Dragons,251,51,1,42
2019/12/7,Young Thug,104,52,8,39
2019/12/7,Vince Guaraldi Trio,21,53,50,83
2019/12/7,Lil Tecca,21,54,9,44
2019/12/7,Idina Menzel,15,55,15,0
2019/12/7,Dua Lipa,82,56,10,57
2019/12/7,Nat King Cole,18,57,35,0
2019/12/7,Mustard,18,58,57,58
2019/12/7,Lauren Daigle,91,59,3,49
2019/12/7,Burl Ives,25,60,43,80
2019/12/7,Beck,6,61,17,0
2019/12/7,EXO,43,62,9,87
2019/12/7,Blake Shelton,252,63,1,46
2019/12/7,Thomas Rhett,252,64,1,37
2019/12/7,Gene Autry,16,65,44,98
2019/12/7,NF,92,66,1,52
2019/12/7,Dean Martin,14,67,35,95
2019/12/7,Brenda Lee,15,68,60,0
2019/12/7,Wham!,11,69,24,72
2019/12/7,Maren Morris,141,70,10,54
2019/12/7,Trans-Siberian Orchestra,36,71,19,70
2019/12/7,XXXTENTACION,119,72,1,77
2019/12/7,Marshmello,111,73,4,59
2019/12/7,Gunna,39,74,10,61
2019/12/7,Kanye West,115,75,1,23
2019/12/7,twenty one pilots,241,76,1,74
2019/12/7,blackbear,25,77,33,64
2019/12/7,Leonard Cohen,6,78,8,0
2019/12/7,J Balvin,97,79,16,65
2019/12/7,Celine Dion,4,80,1,1
2019/12/7,Harry Styles,22,81,1,43
2019/12/7,Rod Wave,1,82,82,0
2019/12/7,Eagles,54,83,10,0
2019/12/7,Cardi B,124,84,1,69
2019/12/7,Morgan Wallen,40,85,34,79
2019/12/7,A Boogie Wit da Hoodie,72,86,11,55
2019/12/7,Sam Hunt,214,87,5,78
2019/12/7,Luke Bryan,278,88,1,75
2019/12/7,Lil Tjay,14,89,36,85
2019/12/7,John Legend,112,90,15,0
2019/12/7,Jon Pardi,85,91,14,82
2019/12/7,J. Cole,184,92,1,81
2019/12/7,Megan Thee Stallion,24,93,34,76
2019/12/7,Chris Stapleton,214,94,1,67
2019/12/7,Bruno Mars,271,95,1,88
2019/12/7,NLE Choppa,17,96,42,86
2019/12/7,Nirvana,13,97,59,0
2019/12/7,Dustin Lynch,54,98,11,94
2019/12/7,5 Seconds Of Summer,140,99,1,93
2019/12/7,The Beach Boys,3,100,88,0
2019/11/30,Celine Dion,3,1,1,0
2019/11/30,Post Malone,178,2,1,2
2019/11/30,Billie Eilish,65,3,1,3
2019/11/30,Taylor Swift,278,4,1,5
2019/11/30,Luke Combs,142,5,1,1
2019/11/30,Lizzo,31,6,2,4
2019/11/30,DaBaby,32,7,2,6
2019/11/30,Lady Antebellum,58,8,6,54
2019/11/30,Khalid,142,9,1,11
2019/11/30,Ed Sheeran,276,10,1,8
2019/11/30,YoungBoy Never Broke Again,69,11,2,7
2019/11/30,Tory Lanez,49,12,9,0
2019/11/30,Drake,282,13,1,12
2019/11/30,Jonas Brothers,38,14,1,10
2019/11/30,Lil Baby,80,15,8,15
2019/11/30,Lewis Capaldi,27,16,12,13
2019/11/30,BTS,163,17,1,9
2019/11/30,Halsey,206,18,1,19
2019/11/30,Travis Scott,185,19,1,17
2019/11/30,Maroon 5,282,20,1,16
2019/11/30,Dan + Shay,104,21,11,18
2019/11/30,Selena Gomez,211,22,2,21
2019/11/30,Kanye West,114,23,1,14
2019/11/30,Lil Nas X,36,24,3,20
2019/11/30,Chris Brown,230,25,1,26
2019/11/30,Ariana Grande,250,26,1,23
2019/11/30,Old Dominion,144,27,10,22
2019/11/30,Kane Brown,127,28,2,27
