date,title,artist,weeks,current,peak,previous
2019/12/7,Eternal Love,Kris Wu,4,1,1,3
2019/12/7,Rebirth,Cai Xukun,3,2,1,1
2019/12/7,Between Calm And Enthusiasm,Jackson Yee,1,3,0,0
2019/12/7,Years,Xiao Zhan,1,4,0,0
2019/12/7,Nian Xiang,Jackson Yee,4,5,4,6
2019/12/7,The Upside,Charlie Zhou,2,6,6,7
2019/12/7,I Adore You,Jackson Yee,6,7,1,10
2019/12/7,Old Ballad,Jason Zhang,2,8,8,20
2019/12/7,Quote From Love,Bo Huang/Wang Luodan/Tan Zhuo / Bai Ke,1,9,0,0
2019/12/7,School-wide Bulletin,Teens in Times,1,10,0,0
2019/12/7,Tian Ding Yi Li Xing,Tizzy T/Song Jia,2,11,11,11
2019/12/7,Good Night,Lay Zhang,3,12,7,9
2019/12/7,Shuang Yu,Elvis Wang,2,13,13,13
2019/12/7,Zhu Lin Yin Hu,ROCKET GIRLS - Yamy,2,14,8,8
2019/12/7,Inferior Beings,Jefferson Qian,2,15,15,50
2019/12/7,Rainbow Arc,Timmy Xu,3,16,16,33
2019/12/7,Yuan De Yi Xin Ren,Charlie Zhou,4,17,10,19
2019/12/7,Fu Yun,Allen Ren,2,18,12,12
2019/12/7,Man Man Zou,Jeff Chang,4,19,13,14
2019/12/7,Jue Le,BY2,4,20,5,15
2019/12/7,Qing Chun Xu Yao Wen Nuan,Li Yifeng,5,21,7,17
2019/12/7,Zhuan Shu He Yue,Chen Linong,3,22,12,18
2019/12/7,Xia.,Fox/Li Dingding MIA AIM,1,23,0,0
2019/12/7,I'm Happy,Eleanor Lee,1,24,0,0
2019/12/7,Blossom In Heart,Deng Lun / A Lan,6,25,10,21
2019/12/7,"Ok, Ok, Ok",Henry Huo,1,26,0,0
2019/12/7,I'm Fine,Kenji Wu,2,27,27,45
2019/12/7,Guo Jin Qian Fan,Charlie Zhou,4,28,28,100
2019/12/7,Attached To You,Dylan Xiong,2,29,23,23
2019/12/7,Liang Zhi Lao Hu,Xiao Zhan,3,30,22,34
2019/12/7,Ye Wang,Chris Lee / Click#15,7,31,5,25
2019/12/7,Look For,Sean Chen,1,32,0,0
2019/12/7,Fu Yun San,Li Yugang,12,33,11,28
2019/12/7,Sea,Wang Ziyi,7,34,10,40
2019/12/7,Marry Love,Miriam Yeung,1,35,0,0
2019/12/7,Your answer,A Rong,1,36,0,0
2019/12/7,Miss Forever,ONER,6,37,21,0
2019/12/7,Miss Forever,Shui Mu Nian Hua / Xu Fei,4,38,23,44
2019/12/7,Promise To You,Silence Wang,8,39,18,81
2019/12/7,Right Here Waiting For You,Wu Qingfeng,4,40,17,24
2019/12/7,Dao Qing Peng Zi Lai,Sunnan/Phoebe Yang,1,41,0,0
2019/12/7,Celebration of Oneself,Rainie Yang,3,42,42,91
2019/12/7,Fang He Tu,Charlie Zhou,3,43,9,16
2019/12/7,Wo De Ni,Li Xin Yi,5,44,11,31
2019/12/7,A Mei,Rainbow Chamber Singers,12,45,13,35
2019/12/7,Miss You 3000,831,3,46,30,86
2019/12/7,Kan Yun,W.BOWEN,1,47,0,0
2019/12/7,Bu Kui Bu Qian,Tia Ray,3,48,28,32
2019/12/7,Light Year,Hu Haiquan,2,49,26,26
2019/12/7,Bu Yao Gun,831/ Landlord's Cat,5,50,24,36
2019/12/7,"My People, My Country (Youth Version)",Various,5,51,41,41
2019/12/7,Wo Bu hao,Lay Zhang,12,52,1,43
2019/12/7,You Zhe Yang Yi Ge Ni,Zhang Yao/Sandra Ma,2,53,53,64
2019/12/7,Bao Tuan Qu Nuan,Phibian Wang,2,54,38,38
2019/12/7,Mei You Ni De Dong Ji,Ayanga,5,55,12,62
2019/12/7,Qin Ai De Ni Qu Le He Fang,Chen Shuo Zi,11,56,31,46
2019/12/7,Passenger,A-Lin,2,57,22,22
2019/12/7,Journey To The East,Charlie Zhou,7,58,6,42
2019/12/7,With First Name And Last Name,Azora Chin,1,59,0,0
2019/12/7,Ao Xiang Tian Di,Hu Xia,7,60,25,71
2019/12/7,Chu Men You Zhuan,Kelly Yu,2,61,54,54
2019/12/7,Zhi Shi Ji Nian,Julius Liu,5,62,29,93
2019/12/7,Love You Aren't Sereral Days,Jiao Mai Qi,1,63,0,0
2019/12/7,You Ran jian Nan Shan,Hu Xia,5,64,16,39
2019/12/7,Dance Smash,Henry Lau,3,65,65,72
2019/12/7,Qing Chun Pao Wu Xian,Hu Xia,2,66,51,51
2019/12/7,Fallin,Young Jack,3,67,18,48
2019/12/7,Pi Pa Xing,Gu Qin Bai Wu Xia / Tian Miaomiao / Leo Luo,6,68,26,49
2019/12/7,Zou Guo Shi Jie Mei Yi Ge Jiao Luo,BiBi Zhou,13,69,7,67
2019/12/7,Little Planet,Estelle Chen,11,70,60,68
2019/12/7,"Delete, Reset",Rainie Yang,1,71,0,0
2019/12/7,Liang,Terry Zhang,2,72,72,0
2019/12/7,Guan Shan Jiu,Deng Shen Me Jun,11,73,40,53
2019/12/7,Zhe Yi Tian,Li Wen Han,11,74,16,66
2019/12/7,Zui Hou Bu Hui You Bei Shang,Peng Yuchang/ Darren Wang / Wei Daxun,9,75,5,0
2019/12/7,Belong,Rachael Liu,1,76,0,0
2019/12/7,Xiang Jiang Bian Shang,HOHO,13,77,40,78
2019/12/7,Popping Candy,Yibo Wang,3,78,75,84
2019/12/7,Who Cares,Lou Yixiao,4,79,18,55
2019/12/7,Hai Chang,Wei Zhang,5,80,62,63
2019/12/7,Hei Ye Zhong,Bruce Liang,6,81,15,0
2019/12/7,Luo Ye,Hu Xia,3,82,27,27
2019/12/7,Ai Ni 3000,Will Pan/SeanT/BooM Huang,13,83,14,0
2019/12/7,Zha,Zhao Yingjun,4,84,22,61
2019/12/7,Only You,Dimash,10,85,26,0
2019/12/7,Chang Ke,Jeff Qin,7,86,7,77
2019/12/7,Poetry About Time,SNH48,11,87,19,73
2019/12/7,Light Snow,Yin Que Shi Ting/Jennifer Quan,2,88,59,59
2019/12/7,Stubborn,Feng Timo,10,89,55,80
2019/12/7,Xing Xing Zhui Luo Shi,Silence Wang,2,90,76,76
2019/12/7,Tian Lu,Henry Huo,4,91,47,47
2019/12/7,"Zuo Wan, Qian Ru Li Qi Xing Qiu",Zeawo,4,92,7,0
2019/12/7,Strong Box,Kenzy/GAI CHOW Feat.Gai,1,93,0,0
2019/12/7,Wo Huai Yi Ni Ceng Lai Guo,Mai La Jiao Ye Yong Quan,4,94,81,0
2019/12/7,Chu Qiu He Ni,Ge Bi Lao Fan,5,95,58,98
2019/12/7,Monkey,ONER,4,96,33,85
2019/12/7,The Reason Why,Naomi Wang (Feat. Ayasa),2,97,37,37
2019/12/7,Rocket,Jefferson Qian,6,98,37,82
2019/12/7,Tequila Sunrise,88rising / Jackson Wang / Higher Brothers / AUGUST 08 / GoldLink,7,99,52,0
2019/12/7,Lv Zhou,Eason Shen,4,100,68,96
2019/11/30,Rebirth,Cai Xukun,2,1,1,5
2019/11/30,Conversations with ET,Hua Chenyu,4,2,1,1
2019/11/30,Eternal Love,Kris Wu,3,3,1,2
2019/11/30,Xin Yin Li,Karry Wang / Jolin Tsai,3,4,3,3
2019/11/30,Liu Xing,Karry Wang,4,5,1,4
2019/11/30,Nian Xiang,Jackson Yee,3,6,4,6
2019/11/30,The Upside,Charlie Zhou,1,7,0,0
2019/11/30,Zhu Lin Yin Hu,ROCKET GIRLS - Yamy,1,8,0,0
2019/11/30,Good Night,Lay Zhang,2,9,7,7
2019/11/30,I Adore You,Jackson Yee,5,10,1,8
2019/11/30,Tian Ding Yi Li Xing,Tizzy T/Song Jia,1,11,0,0
2019/11/30,Fu Yun,Allen Ren,1,12,0,0
2019/11/30,Shuang Yu,Elvis Wang,1,13,0,0
2019/11/30,Man Man Zou,Jeff Chang,3,14,13,15
2019/11/30,Jue Le,BY2,3,15,5,14
2019/11/30,Fang He Tu,Charlie Zhou,2,16,9,9
2019/11/30,Qing Chun Xu Yao Wen Nuan,Li Yifeng,4,17,7,16
2019/11/30,Zhuan Shu He Yue,Chen Linong,2,18,12,12
2019/11/30,Yuan De Yi Xin Ren,Charlie Zhou,3,19,10,10
2019/11/30,Old Ballad,Jason Zhang,1,20,0,0
2019/11/30,Blossom In Heart,Deng Lun / A Lan,5,21,10,21
2019/11/30,Passenger,A-Lin,1,22,0,0
2019/11/30,Attached To You,Dylan Xiong,1,23,0,0
2019/11/30,Right Here Waiting For You,Wu Qingfeng,3,24,17,17
2019/11/30,Ye Wang,Chris Lee / Click#15,6,25,5,27
2019/11/30,Light Year,Hu Haiquan,1,26,0,0
2019/11/30,Luo Ye,Hu Xia,2,27,27,34
2019/11/30,Fu Yun San,Li Yugang,11,28,11,29
2019/11/30,Wu Xian,Various,9,29,22,73
2019/11/30,On The Sky,Well Lee,2,30,30,80
2019/11/30,Wo De Ni,Li Xin Yi,4,31,11,57
2019/11/30,Bu Kui Bu Qian,Tia Ray,2,32,28,28
2019/11/30,Rainbow Arc,Timmy Xu,2,33,19,19
2019/11/30,Liang Zhi Lao Hu,Xiao Zhan,2,34,22,22
2019/11/30,A Mei,Rainbow Chamber Singers,11,35,13,45
2019/11/30,Bu Yao Gun,831/ Landlord's Cat,4,36,24,32
2019/11/30,The Reason Why,Naomi Wang (Feat. Ayasa),1,37,0,0
2019/11/30,Bao Tuan Qu Nuan,Phibian Wang,1,38,0,0
2019/11/30,You Ran jian Nan Shan,Hu Xia,4,39,16,35
2019/11/30,Sea,Wang Ziyi,6,40,10,78
2019/11/30,"My People, My Country (Youth Version)",Various,4,41,41,59
2019/11/30,Journey To The East,Charlie Zhou,6,42,6,41
2019/11/30,Wo Bu hao,Lay Zhang,11,43,1,36
2019/11/30,Miss Forever,Shui Mu Nian Hua / Xu Fei,3,44,23,38
2019/11/30,I'm Fine,Kenji Wu,1,45,0,0
2019/11/30,Qin Ai De Ni Qu Le He Fang,Chen Shuo Zi,10,46,31,48
2019/11/30,Tian Lu,Henry Huo,3,47,47,49
2019/11/30,Fallin,Young Jack,2,48,18,18
2019/11/30,Pi Pa Xing,Gu Qin Bai Wu Xia / Tian Miaomiao / Leo Luo,5,49,26,40
2019/11/30,Inferior Beings,Jefferson Qian,1,50,0,0
2019/11/30,Qing Chun Pao Wu Xian,Hu Xia,1,51,0,0
2019/11/30,Stay The Night,Cimo Frankel / Wu Jiacheng,3,52,44,47
2019/11/30,Guan Shan Jiu,Deng Shen Me Jun,10,53,40,53
2019/11/30,Chu Men You Zhuan,Kelly Yu,1,54,0,0
