date,title,artist,weeks,current,peak,previous
2019/12/14,Happier,Marshmello & Bastille,68,1,1,1
2019/12/14,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,8,2,2,2
2019/12/14,Ride It.,DJ Regard,19,3,3,3
2019/12/14,Higher Love,Kygo X Whitney Houston,23,4,2,4
2019/12/14,Good Things Fall Apart,Illenium & Jon Bellion,30,5,3,5
2019/12/14,Que Calor,Major Lazer & J Balvin Featuring El Alfa,13,6,6,6
2019/12/14,Lose Control,Meduza x Becky Hill x GOODBOYS,8,7,7,9
2019/12/14,Takeaway,The Chainsmokers & Illenium Featuring Lennon Stella,20,8,3,7
2019/12/14,Post Malone,Sam Feldt Featuring RANI,28,9,4,8
2019/12/14,Griztronics,GRiZ & Subtronics,8,10,9,11
2019/12/14,Baila Conmigo,Dayvi & Victor Cardenas Featuring Kelly Ruiz,25,11,9,10
2019/12/14,I'm Not Alright,Loud Luxury And Bryce Vine,21,12,12,13
2019/12/14,God Is A Dancer,Tiesto & Mabel,11,13,13,15
2019/12/14,I Feel Love,Sam Smith,5,14,8,14
2019/12/14,Faith,Galantis & Dolly Parton Featuring Mr. Probz,6,15,13,16
2019/12/14,Turn Me On,Riton X Oliver Heldens Featuring Vula,7,16,16,18
2019/12/14,Used To Love,Martin Garrix & Dean Lewis,5,17,10,17
2019/12/14,In Your Arms,Illenium &  X Ambassadors,16,18,16,20
2019/12/14,Trouble,VASSY,6,19,19,22
2019/12/14,Body On My,"Loud Luxury Featuring brando, Pitbull & Nicky Jam",3,20,20,45
2019/12/14,OMG,Gryffin And Carly Rae Jepsen,18,21,16,24
2019/12/14,Body Back,Gryffin Featuring Maia Wright,7,22,14,21
2019/12/14,Baila Conmigo,Jennifer Lopez,8,23,16,23
2019/12/14,Pump It Up,Endor,8,24,18,25
2019/12/14,Purple Hat,Sofi Tukker,7,25,25,27
2019/12/14,Higher,Ally Brooke X Matoma,5,26,26,31
2019/12/14,Free,Louis The Child With Drew Love,4,27,27,28
2019/12/14,Rushing Back,Flume Featuring Vera Blue,10,28,12,26
2019/12/14,Need Your Love,"Gryffin, Seven Lions & Noah Kahan",6,29,12,29
2019/12/14,Hard To Say Goodbye,Ekali & Illenium Featuring Chloe Angelides,2,30,30,34
2019/12/14,Came For The Low,ZHU & partywithray,6,31,31,33
2019/12/14,Wanted,NOTD x Daya,5,32,32,35
2019/12/14,Roots,Valerie Broussard & Galantis,7,33,25,30
2019/12/14,This Is Real,Jax Jones & Ella Henderson,3,34,32,32
2019/12/14,Dreamland,Pet Shop Boys Featuring Years & Years,3,35,35,43
2019/12/14,Make It To Heaven,"David Guetta, MORTEN & Raye",2,36,19,19
2019/12/14,FALL,deadmau5,1,37,37,0
2019/12/14,Something About You,Elderbrook x Rudimental,9,38,35,50
2019/12/14,So Heavy I Fell Through The Earth,Grimes,3,39,24,40
2019/12/14,San Frandisco,Dom Dolla,4,40,40,41
2019/12/14,Thing For You,David Guetta & Martin Solveig,13,41,19,49
2019/12/14,Play,"K-391, Alan Walker & Martin Tungevaag Featuring Mangoo",14,42,32,42
2019/12/14,You Gotta Be,Bombs Away Featuring Reigan,1,43,43,0
2019/12/14,Midnight Hour,"Skrillex, Boys Noize & Ty Dolla $ign",14,44,17,44
2019/12/14,The Power,Duke Dumont & Zak Abel,12,45,17,37
2019/12/14,Formula,RL Grime & Juelz,2,46,38,38
2019/12/14,Ghost,Au/Ra x Alan Walker,5,47,33,0
2019/12/14,Holy Terrain,FKA Twigs Featuring Future,8,48,18,46
2019/12/14,See The End,Above & Beyond And Seven Lions Featuring Opposite The Other,1,49,49,0
2019/12/14,Violence,Grimes & i_o,5,50,20,0
2019/12/7,Happier,Marshmello & Bastille,67,1,1,1
2019/12/7,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,7,2,2,2
2019/12/7,Ride It.,DJ Regard,18,3,3,3
2019/12/7,Higher Love,Kygo X Whitney Houston,22,4,2,4
2019/12/7,Good Things Fall Apart,Illenium & Jon Bellion,29,5,3,5
2019/12/7,Que Calor,Major Lazer & J Balvin Featuring El Alfa,12,6,6,6
2019/12/7,Takeaway,The Chainsmokers & Illenium Featuring Lennon Stella,19,7,3,7
2019/12/7,Post Malone,Sam Feldt Featuring RANI,27,8,4,8
2019/12/7,Lose Control,Meduza x Becky Hill x GOODBOYS,7,9,9,10
2019/12/7,Baila Conmigo,Dayvi & Victor Cardenas Featuring Kelly Ruiz,24,10,9,12
2019/12/7,Griztronics,GRiZ & Subtronics,7,11,9,9
2019/12/7,Call You Mine,The Chainsmokers & Bebe Rexha,26,12,2,11
2019/12/7,I'm Not Alright,Loud Luxury And Bryce Vine,20,13,13,15
2019/12/7,I Feel Love,Sam Smith,4,14,8,16
2019/12/7,God Is A Dancer,Tiesto & Mabel,10,15,15,17
2019/12/7,Faith,Galantis & Dolly Parton Featuring Mr. Probz,5,16,13,13
