date,title,artist,weeks,current,peak,previous,,
2019/12/14,Hikari No Kehai,KinKi Kids,3,1,1,79,,
2019/12/14,Pretender,Official Hige Dandism,34,2,1,2,,
2019/12/14,Hakujitsu,King Gnu,42,3,3,3,,
2019/12/14,Time Camera,FANTASTICS from EXILE TRIBE,1,4,0,0,,
2019/12/14,Gurenge,LiSA,33,5,5,15,,
2019/12/14,Yesterday,Official Hige Dandism,13,6,2,5,,
2019/12/14,Shukumei,Official Hige Dandism,22,7,3,6,,
2019/12/14,Marigold,Aimyon,74,8,1,9,,
2019/12/14,Uma To Shika,Kenshi Yonezu,17,9,1,10,,
2019/12/14,Paprika,Foorin,50,10,7,14,,
2019/12/7,Tomo Yo,Kanjani 8,1,1,0,0,,
2019/12/7,Pretender,Official Hige Dandism,33,2,1,1,,
2019/12/7,Hakujitsu,King Gnu,41,3,3,4,,
2019/12/7,RECIPE,Tatsuro Yamashita,3,4,4,54,,
2019/12/7,Yesterday,Official Hige Dandism,12,5,2,3,,
2019/12/7,Shukumei,Official Hige Dandism,21,6,3,5,,
2019/12/7,Fuyuzora,Sandaime J Soul Brothers from EXILE TRIBE,1,7,0,0,,
2019/12/7,Geki! Teikoku Kagekidan Shinsho,"Sakura Amamiya (Ayane Sakura), Hatsuho Shinonome (Maaya Uchida), Azami Mochizuki (Hibiku Y",1,8,0,0,,
2019/12/7,Marigold,Aimyon,73,9,1,7,,
2019/12/7,Uma To Shika,Kenshi Yonezu,16,10,1,9,,
2019/11/30,Pretender,Official Hige Dandism,32,1,1,2,,
2019/11/30,Watashi Wo Tsukuru No Ha Watashi,Angerme,1,2,0,0,,
2019/11/30,Yesterday,Official Hige Dandism,11,3,2,4,,
2019/11/30,Hakujitsu,King Gnu,40,4,4,5,,
2019/11/30,Shukumei,Official Hige Dandism,20,5,3,3,,
2019/11/30,OVERDOSE,Hiroomi Tosaka,2,6,6,49,,
2019/11/30,Marigold,Aimyon,72,7,1,7,,
2019/11/30,Revival Love,Bullet Train,1,8,0,0,,
2019/11/30,Uma To Shika,Kenshi Yonezu,15,9,1,6,,
2019/11/30,Tsuioku No Hikari,Sayaka Yamamoto,1,10,0,0,,
2019/11/23,Edge Of Days,Kis-My-Ft2,9,1,1,39,,
2019/11/23,Pretender,Official Hige Dandism,31,2,1,3,,
2019/11/23,Shukumei,Official Hige Dandism,19,3,3,7,,
2019/11/23,Yesterday,Official Hige Dandism,10,4,2,8,,
2019/11/23,Hakujitsu,King Gnu,39,5,5,10,,
2019/11/23,Uma To Shika,Kenshi Yonezu,14,6,1,6,,
2019/11/23,Marigold,Aimyon,71,7,1,9,,
2019/11/23,Turning Up,Arashi,3,8,2,2,,
2019/11/23,Paprika,Foorin,47,9,7,14,,
2019/11/23,Gurenge,LiSA,30,10,5,21,,
2019/11/16,Hatsukoi Shijou Shugi,NMB48,1,1,0,0,,
2019/11/16,Turning Up,Arashi,2,2,2,10,,
2019/11/16,Pretender,Official Hige Dandism,30,3,1,2,,
2019/11/16,KiND PEOPLE,BiSH,1,4,0,0,,
2019/11/16,ERA,M!LK,1,5,0,0,,
2019/11/16,Uma To Shika,Kenshi Yonezu,13,6,1,5,,
2019/11/16,Shukumei,Official Hige Dandism,18,7,3,4,,
2019/11/16,Yesterday,Official Hige Dandism,9,8,2,3,,
2019/11/16,Marigold,Aimyon,70,9,1,8,,
2019/11/16,Hakujitsu,King Gnu,38,10,5,6,,
2019/11/9,Zurui Yo Zurui Ne,#NAME?,1,1,0,0,,
2019/11/9,Pretender,Official Hige Dandism,29,2,1,2,,
2019/11/9,Yesterday,Official Hige Dandism,8,3,2,4,,
2019/11/9,Shukumei,Official Hige Dandism,17,4,3,5,,
2019/11/9,Uma To Shika,Kenshi Yonezu,12,5,1,3,,
2019/11/9,Hakujitsu,King Gnu,37,6,5,6,,
2019/11/9,Aa Osaka Dreamin`Night,Dotsuitare-Hompo,1,7,0,0,,
2019/11/9,Marigold,Aimyon,69,8,1,8,,
2019/11/9,RILY,RYUJI IMAICHI,2,9,9,0,,
2019/11/9,Turning Up,Arashi,1,10,0,0,,
2019/11/2,Kirin No Ko,Sexy Zone,5,1,1,32,,
2019/11/2,Pretender,Official Hige Dandism,28,2,1,1,,
2019/11/2,Uma To Shika,Kenshi Yonezu,11,3,1,3,,
2019/11/2,Yesterday,Official Hige Dandism,7,4,2,2,,
2019/11/2,Shukumei,Official Hige Dandism,16,5,3,4,,
2019/11/2,Hakujitsu,King Gnu,36,6,5,8,,
2019/11/2,44RAIDERS,BALLISTIK BOYZ from EXILE TRIBE,1,7,0,0,,
2019/11/2,Marigold,Aimyon,68,8,1,7,,
2019/11/2,Dark Crow,Man With A Mission,1,9,0,0,,
2019/11/2,Sora No Aosa Wo Shiru Hito Yo,Aimyon,7,10,4,9,,
2019/10/26,Pretender,Official Hige Dandism,27,1,1,2,,
2019/10/26,Yesterday,Official Hige Dandism,6,2,2,3,,
2019/10/26,Uma To Shika,Kenshi Yonezu,10,3,1,4,,
2019/10/26,Shukumei,Official Hige Dandism,15,4,3,5,,
2019/10/26,Category,ONE N' ONLY,1,5,0,0,,
2019/10/26,Rob The Frontier,UVERworld,1,6,0,0,,
2019/10/26,Marigold,Aimyon,67,7,1,7,,
2019/10/26,Hakujitsu,King Gnu,35,8,5,13,,
2019/10/26,Sora No Aosa Wo Shiru Hito Yo,Aimyon,6,9,4,6,,
2019/10/26,Kasa,King Gnu,2,10,9,9,,
2019/10/19,Big Shot!!,Johnny's WEST,1,1,0,0,,
2019/10/19,Pretender,Official Hige Dandism,26,2,2,2,,
2019/10/19,Yesterday,Official Hige Dandism,5,3,3,5,,
2019/10/19,Uma To Shika,Kenshi Yonezu,9,4,1,3,,
2019/10/19,Shukumei,Official Hige Dandism,14,5,3,6,,
2019/10/19,Sora No Aosa Wo Shiru Hito Yo,Aimyon,5,6,4,4,,
2019/10/19,Marigold,Aimyon,66,7,1,9,,
2019/10/19,Phantom Joke,UNISON SQUARE GARDEN,1,8,0,0,,
2019/10/19,Kasa,King Gnu,1,9,0,0,,
2019/10/19,Konna Ni Sukini Natchatte Iino?,Hinatazaka 46,3,10,1,1,,
2019/10/12,Konna Ni Sukini Natchatte Iino?,Hinatazaka 46,2,1,1,0,,
2019/10/12,Pretender,Official Hige Dandism,25,2,2,3,,
2019/10/12,Uma To Shika,Kenshi Yonezu,8,3,1,2,,
2019/10/12,Sora No Aosa Wo Shiru Hito Yo,Aimyon,4,4,4,15,,
2019/10/12,Yesterday,Official Hige Dandism,4,5,5,5,,
2019/10/12,Shukumei,Official Hige Dandism,13,6,3,6,,
2019/10/12,10%,Shingo Katori,1,7,0,0,,
2019/10/12,Hypnosis Microphone (Division Rap Battle),Division All Stars,2,8,8,11,,
2019/10/12,Marigold,Aimyon,65,9,1,9,,
2019/10/12,Swag & Pride,THE RAMPAGE from EXILE TRIBE,4,10,10,88,,
2019/10/5,Vampire,IZ*ONE,4,1,1,57,,
2019/10/5,Uma To Shika,Kenshi Yonezu,7,2,1,2,,
2019/10/5,Pretender,Official Hige Dandism,24,3,2,3,,
2019/10/5,Feel Special,TWICE,1,4,0,0,,
2019/10/5,Yesterday,Official Hige Dandism,3,5,5,6,,
2019/10/5,Shukumei,Official Hige Dandism,12,6,3,4,,
2019/10/5,Mitaiken Horizon,Aqours,1,7,0,0,,
2019/10/5,DAN DAN Dance!!,A.B.C-Z,5,8,8,48,,
2019/10/5,Marigold,Aimyon,64,9,1,7,,
2019/10/5,Paprika,Foorin,40,10,7,12,,
2019/9/28,Sustainable,AKB48,2,1,1,0,,
2019/9/28,Uma To Shika,Kenshi Yonezu,6,2,1,1,,
2019/9/28,Pretender,Official Hige Dandism,23,3,2,3,,
2019/9/28,Shukumei,Official Hige Dandism,11,4,3,7,,
2019/9/28,Brave,Arashi,2,5,2,2,,
2019/9/28,Yesterday,Official Hige Dandism,2,6,6,13,,
2019/9/28,Marigold,Aimyon,63,7,1,8,,
2019/9/28,Yoake Made Tsuyogaranakutemo ii,Nogizaka46,6,8,1,5,,
2019/9/28,Lemon,Kenshi Yonezu,84,9,1,9,,
2019/9/28,Sora No Aosa Wo Shiru Hito Yo,Aimyon,2,10,10,14,,
2019/9/21,Uma To Shika,Kenshi Yonezu,5,1,1,2,,
2019/9/21,Brave,Arashi,1,2,0,0,,
2019/9/21,Pretender,Official Hige Dandism,22,3,2,3,,
2019/9/21,Seishun Train,Last Idol,1,4,0,0,,
2019/9/21,Yoake Made Tsuyogaranakutemo ii,Nogizaka46,5,5,1,1,,
2019/9/21,Rpm,SF9,1,6,0,0,,
2019/9/21,Shukumei,Official Hige Dandism,10,7,3,5,,
2019/9/21,Marigold,Aimyon,62,8,1,6,,
2019/9/21,Lemon,Kenshi Yonezu,83,9,1,9,,
2019/9/21,Paprika,Foorin,38,10,7,12,,
2019/9/14,Yoake Made Tsuyogaranakutemo ii,Nogizaka46,4,1,1,15,,
2019/9/14,Uma To Shika,Kenshi Yonezu,4,2,2,5,,
2019/9/14,Pretender,Official Hige Dandism,21,3,2,2,,
2019/9/14,Kodou,Toukendanshi Formation Of Mihotose,1,4,0,0,,
2019/9/14,Shukumei,Official Hige Dandism,9,5,3,3,,
2019/9/14,Marigold,Aimyon,61,6,1,6,,
2019/9/14,Escape,Airi Suzuki,1,7,0,0,,
2019/9/14,Hypnosismic (Division Battle Anthem),Division All Stars,7,8,8,0,,
2019/9/14,Lemon,Kenshi Yonezu,82,9,1,10,,
2019/9/14,Aitaiyo,Shota Tezuka,6,10,10,47,,
2019/9/7,koi-wazurai,King & Prince,1,1,0,0,,
2019/9/7,Pretender,Official Hige Dandism,20,2,2,2,,
2019/9/7,Shukumei,Official Hige Dandism,8,3,3,3,,
2019/9/7,Dreamers,GENERATIONS from EXILE TRIBE,3,4,4,24,,
2019/9/7,Uma To Shika,Kenshi Yonezu,3,5,2,4,,
2019/9/7,Marigold,Aimyon,60,6,1,7,,
2019/9/7,Paprika,Foorin,36,7,7,9,,
2019/9/7,Hakujitsu,King Gnu,28,8,5,12,,
2019/9/7,Machigai Sagashi,Masaki Suda,17,9,2,8,,
2019/9/7,Lemon,Kenshi Yonezu,81,10,1,10,,
2019/8/31,Fanfare!,Hey! Say! JUMP,1,1,0,0,,
2019/8/31,Pretender,Official Hige Dandism,19,2,2,3,,
2019/8/31,Shukumei,Official Hige Dandism,7,3,3,4,,
2019/8/31,Uma To Shika,Kenshi Yonezu,2,4,2,2,,
2019/8/31,Dear Destiny,FANTASTICS from EXILE TRIBE,1,5,0,0,,
2019/8/31,Happiness,PENTAGON,1,6,0,0,,
2019/8/31,Marigold,Aimyon,59,7,1,6,,
2019/8/31,Machigai Sagashi,Masaki Suda,16,8,2,11,,
2019/8/31,Paprika,Foorin,35,9,8,9,,
2019/8/31,Lemon,Kenshi Yonezu,80,10,1,5,,
2019/8/24,Bokou He Kaere!,NMB48,1,1,0,0,,
2019/8/24,Uma To Shika,Kenshi Yonezu,1,2,0,0,,
2019/8/24,Pretender,Official Hige Dandism,18,3,2,3,,
2019/8/24,Shukumei,Official Hige Dandism,6,4,4,4,,
2019/8/24,Lemon,Kenshi Yonezu,79,5,1,13,,
2019/8/24,Marigold,Aimyon,58,6,1,8,,
2019/8/24,Ai Ni Dekiru Koto Ha Mada Arukai?,RADWIMPS,6,7,3,5,,
2019/8/24,Ai Ha Slow Ni Chottozutsu,Southern All Stars,3,8,8,94,,
2019/8/24,Paprika,Foorin,34,9,8,12,,
2019/8/24,Grand Escape,RADWIMPS Feat.Toko Miura,6,10,9,9,,
2019/8/17,Scarlet,SANDAIME J SOUL BROTHERS from EXILE TRIBE Feat. Afrojack,2,1,1,22,,
2019/8/17,Megane No Otokonoko/Nippon No D.N.A!/Go Waist,Beyooooonds,1,2,0,0,,
2019/8/17,Pretender,Official Hige Dandism,17,3,2,2,,
2019/8/17,Shukumei,Official Hige Dandism,5,4,4,7,,
2019/8/17,Ai Ni Dekiru Koto Ha Mada Arukai?,RADWIMPS,5,5,3,5,,
2019/8/17,Chie No Wa,Tokyo Ska Paradise Orchestra Feat. Kazunobu Meneta,3,6,6,82,,
2019/8/17,P.A.R.T.Y. (Universe Festival),DA PUMP,5,7,7,38,,
2019/8/17,Marigold,Aimyon,57,8,1,8,,
2019/8/17,Grand Escape,RADWIMPS Feat.Toko Miura,5,9,9,10,,
2019/8/17,Hikoutei,King Gnu,1,10,0,0,,
2019/8/10,Daisuki Na Hito,STU48,1,1,0,0,,
2019/8/10,Pretender,Official Hige Dandism,16,2,2,4,,
2019/8/10,Welcome 2 Paradise,THE RAMPAGE from EXILE TRIBE,5,3,3,90,,
2019/8/10,Hot Hot Hot,Tohoshinki,2,4,4,56,,
