date,title,artist,weeks,current,peak,previous
2019/11/23,Love Poem,IU,4,1,1,1
2019/11/23,Hip,MAMAMOO,2,2,2,43
2019/11/23,Late Night,Noel,3,3,3,3
2019/11/23,Blueming,IU,1,4,0,0
2019/11/23,Call Me Back,VIBE,2,5,5,33
2019/11/23,"How Can I Love The Heartbreak, You're The One I Love",AKMU,9,6,1,2
2019/11/23,Above The Time,IU,1,7,0,0
2019/11/23,Your Shampoo Scent In The Flowers,Jang Beom June,14,8,2,6
2019/11/23,Another Love,Ha Yea Song,7,9,2,7
2019/11/23,Spark,TAEYEON,4,10,2,4
2019/11/23,unlucky,IU,1,11,0,0
2019/11/23,Fame,"MC MONG (Feat. Song Ga-in, Chancellor)",5,12,1,5
2019/11/23,I'm A Little Drunk,Lim Jae Hyun (prod. 2soo),9,13,4,9
2019/11/23,I Still Love You A Lot,Jeon Sang Keun,11,14,5,10
2019/11/23,The Visitor,IU,1,15,0,0
2019/11/23,See you later,Jang Deok Cheol,7,16,7,11
2019/11/23,Lullaby,IU,1,17,0,0
2019/11/23,Lion,(G)I-DLE,4,18,5,8
2019/11/23,The Lonely Bloom Stands Alone,HYNN,20,19,7,14
2019/11/23,So Long,Paul Kim,15,20,1,13
2019/11/23,To You My Light,Maktub,24,21,3,12
2019/11/23,Your Regards,Ha Yea Song,27,22,5,15
2019/11/23,Phocha,Inwook Hwang,15,23,2,17
2019/11/23,Workaholic,BOL4,11,24,2,16
2019/11/23,Sad Drinking,Hwang In Wook,4,25,20,20
2019/11/23,Bad Love,HYNN,2,26,26,40
2019/11/23,"Every Day, Every Moment",Paul Kim,86,27,6,23
2019/11/23,If There Was Practice In Love (Prod. 2soo),Lim Jae Hyun (prod. 2soo),34,28,1,22
2019/11/23,Chanel,MC MONG (Feat. Park Bom),5,29,5,18
2019/11/23,Feel Special,TWICE,9,30,1,19
2019/11/23,Remember Me,Gummy,16,31,1,25
2019/11/23,My Love Has Faded Away,Monday Kiz,25,32,15,27
2019/11/23,Story Of Night Fall,Kassy,12,33,11,24
2019/11/23,Empty,Paul Kim,7,34,10,26
2019/11/23,like a heroine in the movie,Punch,4,35,35,38
2019/11/23,Boy With Luv,BTS Featuring Halsey,32,36,1,28
2019/11/23,Drunk On Love,"Jang Hye Jin, Yun Min Soo (VIBE)",23,37,1,29
2019/11/23,May,Zion.T,3,38,21,21
2019/11/23,Again,V.O.S,12,39,30,35
2019/11/23,Four Seasons,TAEYEON,34,40,1,32
