date,title,artist,weeks,current,peak,previous
2019/12/14,Good As Hell,Lizzo,13,1,1,1
2019/12/14,Circles,Post Malone,15,2,1,2
2019/12/14,Someone You Loved,Lewis Capaldi,25,3,1,3
2019/12/14,Lose You To Love Me,Selena Gomez,7,4,4,7
2019/12/14,Memories,Maroon 5,12,5,5,6
2019/12/14,Trampoline,SHAED,27,6,4,4
2019/12/14,Only Human,Jonas Brothers,23,7,3,5
2019/12/14,Panini,Lil Nas X,20,8,8,11
2019/12/14,Truth Hurts,Lizzo,28,9,1,8
2019/12/14,How Do You Sleep?,Sam Smith,20,10,9,9
2019/12/14,Time,NF,19,11,11,12
2019/12/14,Graveyard,Halsey,12,12,12,14
2019/12/14,Beautiful People,Ed Sheeran Featuring Khalid,23,13,5,10
2019/12/14,Don't Start Now,Dua Lipa,5,14,14,16
2019/12/14,"10,000 Hours",Dan + Shay & Justin Bieber,9,15,15,15
2019/12/14,Dance Monkey,Tones And I,7,16,16,17
2019/12/14,Lover,Taylor Swift,14,17,16,18
2019/12/14,Roxanne,Arizona Zervas,3,18,18,24
2019/12/14,Nice To Meet Ya,Niall Horan,10,19,19,21
2019/12/14,All The Good Girls Go To Hell,Billie Eilish,9,20,20,20
2019/12/14,Hot Girl Bummer,blackbear,6,21,21,22
2019/12/14,What Am I,Why Don't We,14,22,22,23
2019/12/14,Heartless,The Weeknd,2,23,23,29
2019/12/14,My Type,Saweetie,11,24,24,25
2019/12/14,Raising Hell,Kesha Featuring Big Freedia,5,25,25,26
2019/12/14,everything i wanted,Billie Eilish,2,26,26,37
2019/12/14,Teeth,5 Seconds Of Summer,8,27,27,28
2019/12/14,HIGHEST IN THE ROOM,Travis Scott,4,28,28,30
2019/12/14,Slow Dance,AJ Mitchell & Ava Max,10,29,29,31
2019/12/14,Adore You,Harry Styles,1,30,30,0
2019/12/14,Writing On The Wall,"French Montana Featuring Post Malone, Cardi B & Rvssian",8,31,29,32
2019/12/14,Make It Right,BTS Featuring Lauv,5,32,32,35
2019/12/14,"fuck, i'm lonely",Lauv Featuring Anne-Marie,8,33,33,34
2019/12/14,No Guidance,Chris Brown Featuring Drake,18,34,24,33
2019/12/14,Lonely,Diplo Presents Thomas Wesley With Jonas Brothers,10,35,27,27
2019/12/14,I'm Not Alright,Loud Luxury And Bryce Vine,4,36,36,39
2019/12/14,Good Thing,Zedd & Kehlani,2,37,37,0
2019/12/14,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,1,38,38,0
2019/12/14,Mother,Charlie Puth,4,39,38,40
2019/12/14,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,6,40,36,38
2019/12/7,Good As Hell,Lizzo,12,1,1,1
2019/12/7,Circles,Post Malone,14,2,1,2
2019/12/7,Someone You Loved,Lewis Capaldi,24,3,1,3
2019/12/7,Trampoline,SHAED,26,4,4,5
2019/12/7,Only Human,Jonas Brothers,22,5,3,4
2019/12/7,Memories,Maroon 5,11,6,6,8
2019/12/7,Lose You To Love Me,Selena Gomez,6,7,7,9
2019/12/7,Truth Hurts,Lizzo,27,8,1,7
2019/12/7,How Do You Sleep?,Sam Smith,19,9,9,10
2019/12/7,Beautiful People,Ed Sheeran Featuring Khalid,22,10,5,6
2019/12/7,Panini,Lil Nas X,19,11,11,13
2019/12/7,Time,NF,18,12,11,12
2019/12/7,Senorita,Shawn Mendes & Camila Cabello,24,13,1,11
2019/12/7,Graveyard,Halsey,11,14,14,14
2019/12/7,"10,000 Hours",Dan + Shay & Justin Bieber,8,15,15,15
2019/12/7,Don't Start Now,Dua Lipa,4,16,16,18
2019/12/7,Dance Monkey,Tones And I,6,17,17,19
2019/12/7,Lover,Taylor Swift,13,18,16,16
2019/12/7,One Thing Right,Marshmello & Kane Brown,20,19,16,17
2019/12/7,All The Good Girls Go To Hell,Billie Eilish,8,20,20,20
2019/12/7,Nice To Meet Ya,Niall Horan,9,21,21,21
2019/12/7,Hot Girl Bummer,blackbear,5,22,22,24
2019/12/7,What Am I,Why Don't We,13,23,23,23
