date,title,artist,weeks,current,peak,previous
2019/12/14,High Hopes,Panic! At The Disco,81,1,1,1
2019/12/14,"Hey Look Ma, I Made It",Panic! At The Disco,62,2,1,2
2019/12/14,Orphans,Coldplay,7,3,3,3
2019/12/14,The Hype,twenty one pilots,23,4,3,5
2019/12/14,Tongue Tied,"Marshmello, YUNGBLUD & blackbear",4,5,3,4
2019/12/14,I Think I'm OKAY,Machine Gun Kelly X YUNGBLUD X Travis Barker,26,6,3,6
2019/12/14,16,Highly Suspect,16,7,6,7
2019/12/14,Running Up That Hill,Meg Myers,13,8,8,11
2019/12/14,Popular Monster,Falling In Reverse,3,9,8,8
2019/12/14,Inside Out,Five Finger Death Punch,1,10,10,0
2019/12/14,Lost In The Woods,Weezer,2,11,11,21
2019/12/14,The End Of The Game,Weezer,13,12,9,15
2019/12/14,Under The Graveyard,Ozzy Osbourne,4,13,4,12
2019/12/14,Social Cues,Cage The Elephant,23,14,5,18
2019/12/14,Might Be Right,White Reaper,10,15,15,23
2019/12/14,Outnumbered,Dermot Kennedy,19,16,8,22
2019/12/14,Killing Me Slowly,Bad Wolves,8,17,17,27
2019/12/14,10月10日,Rex Orange County,12,18,6,24
2019/12/14,Father Of All...,Green Day,13,19,6,19
2019/12/14,Birthday Suit,Cosmo Sheldrake,1,20,20,0
2019/12/14,Dear Winter,AJR,8,21,21,25
2019/12/14,When Am I Gonna Lose You,Local Natives,22,22,20,30
2019/12/14,Posthumous Forgiveness,Tame Impala,1,23,23,0
2019/12/14,Life In The City,The Lumineers,13,24,19,33
2019/12/14,we fell in love in october,girl in red,11,25,14,31
2019/12/14,Uneventful Days,Beck,6,26,20,20
2019/12/14,Blind Leading The Blind,Mumford & Sons,6,27,12,37
2019/12/14,Fear Inoculum,Tool,18,28,3,26
2019/12/14,I Really Wish I Hated You,Blink-182,12,29,4,32
2019/12/14,Resentment,A Day To Remember,2,30,10,10
2019/12/14,Can I Call You Tonight?,Dayglow,5,31,31,43
2019/12/14,The Jester,Badflower,8,32,26,29
2019/12/14,Come Around,Papa Roach,9,33,30,34
2019/12/14,Legendary,Skillet,18,34,29,36
2019/12/14,Hurricane,I Prevail,5,35,35,40
2019/12/14,It Might Be Time,Tame Impala,6,36,8,46
2019/12/14,Home Tonight,Paul McCartney,1,37,37,0
2019/12/14,Novocaine,The Unlikely Candidates,6,38,38,0
2019/12/14,The Best,AWOLNATION,4,39,18,48
2019/12/14,Original Me,YUNGBLUD Featuring Dan Reynolds,8,40,7,42
2019/12/14,Outlaws & Outsiders,"Cory Marks Featuring Travis Tritt, Ivan Moody & Mick Mars",2,41,14,0
2019/12/14,Back Foot,Dinosaur Pile-Up,10,42,35,45
2019/12/14,Nero Forte,Slipknot,6,43,11,0
2019/12/14,Dear Future Self (Hands Up),Fall Out Boy Featuring Wyclef Jean,13,44,13,39
2019/12/14,Ludens,Bring Me The Horizon,4,45,13,44
2019/12/14,California Halo Blue,AWOLNATION,1,46,46,0
2019/12/14,Used To Like,Neon Trees,2,47,24,0
2019/12/14,Straight To Hell,Ozzy Osbourne,2,48,16,16
2019/12/14,Wars,Of Monsters And Men,3,49,48,0
2019/12/14,Hold You Down,X Ambassadors,4,50,24,49
2019/12/7,High Hopes,Panic! At The Disco,80,1,1,1
2019/12/7,"Hey Look Ma, I Made It",Panic! At The Disco,61,2,1,2
2019/12/7,Orphans,Coldplay,6,3,3,4
2019/12/7,Tongue Tied,"Marshmello, YUNGBLUD & blackbear",3,4,3,3
2019/12/7,The Hype,twenty one pilots,22,5,3,5
2019/12/7,I Think I'm OKAY,Machine Gun Kelly X YUNGBLUD X Travis Barker,25,6,3,7
2019/12/7,16,Highly Suspect,15,7,6,6
2019/12/7,Popular Monster,Falling In Reverse,2,8,8,45
2019/12/7,The Chain,Evanescence,1,9,9,0
2019/12/7,Resentment,A Day To Remember,1,10,10,0
2019/12/7,Running Up That Hill,Meg Myers,12,11,8,8
2019/12/7,Under The Graveyard,Ozzy Osbourne,3,12,4,10
2019/12/7,Champion Of The World,Coldplay,1,13,13,0
2019/12/7,Everyday Life,Coldplay,4,14,14,40
2019/12/7,The End Of The Game,Weezer,12,15,9,9
2019/12/7,Straight To Hell,Ozzy Osbourne,1,16,16,0
2019/12/7,Daddy,Coldplay,1,17,17,0
2019/12/7,Social Cues,Cage The Elephant,22,18,5,12
2019/12/7,Father Of All...,Green Day,12,19,6,11
2019/12/7,Uneventful Days,Beck,5,20,20,47
2019/12/7,Lost In The Woods,Weezer,1,21,21,0
2019/12/7,Outnumbered,Dermot Kennedy,18,22,8,15
2019/12/7,Might Be Right,White Reaper,9,23,17,17
2019/12/7,10月10日,Rex Orange County,11,24,6,13
2019/12/7,Dear Winter,AJR,7,25,22,22
2019/12/7,Fear Inoculum,Tool,17,26,3,16
2019/12/7,Killing Me Slowly,Bad Wolves,7,27,21,21
2019/12/7,Church,Coldplay,1,28,28,0
2019/12/7,The Jester,Badflower,7,29,26,26
2019/12/7,When Am I Gonna Lose You,Local Natives,21,30,20,20
2019/12/7,we fell in love in october,girl in red,10,31,14,18
2019/12/7,I Really Wish I Hated You,Blink-182,11,32,4,25
2019/12/7,Life In The City,The Lumineers,12,33,19,34
2019/12/7,Come Around,Papa Roach,8,34,30,30
2019/12/7,Arabesque,Coldplay,2,35,29,0
2019/12/7,Legendary,Skillet,17,36,29,33
2019/12/7,Blind Leading The Blind,Mumford & Sons,5,37,12,28
2019/12/7,Hallelujah,HAIM,1,38,38,0
2019/12/7,Dear Future Self (Hands Up),Fall Out Boy Featuring Wyclef Jean,12,39,13,19
2019/12/7,Hurricane,I Prevail,4,40,39,39
2019/12/7,Sunrise,Coldplay,1,41,41,0
2019/12/7,Original Me,YUNGBLUD Featuring Dan Reynolds,7,42,7,27
2019/12/7,Can I Call You Tonight?,Dayglow,4,43,32,32
2019/12/7,Ludens,Bring Me The Horizon,3,44,13,31
2019/12/7,Back Foot,Dinosaur Pile-Up,9,45,35,35
2019/12/7,It Might Be Time,Tame Impala,5,46,8,29
2019/12/7,i think you're really cool,guardin,3,47,36,41
2019/12/7,The Best,AWOLNATION,3,48,18,36
2019/12/7,Hold You Down,X Ambassadors,3,49,24,49
2019/12/7,Parents,YUNGBLUD,13,50,43,44
2019/11/30,High Hopes,Panic! At The Disco,79,1,1,1
2019/11/30,"Hey Look Ma, I Made It",Panic! At The Disco,60,2,1,2
2019/11/30,Tongue Tied,"Marshmello, YUNGBLUD & blackbear",2,3,3,38
2019/11/30,Orphans,Coldplay,5,4,3,3
2019/11/30,The Hype,twenty one pilots,21,5,3,5
2019/11/30,16,Highly Suspect,14,6,6,7
2019/11/30,I Think I'm OKAY,Machine Gun Kelly X YUNGBLUD X Travis Barker,24,7,3,6
2019/11/30,Running Up That Hill,Meg Myers,11,8,8,11
2019/11/30,The End Of The Game,Weezer,11,9,9,10
2019/11/30,Under The Graveyard,Ozzy Osbourne,2,10,4,4
2019/11/30,Father Of All...,Green Day,11,11,6,8
2019/11/30,Social Cues,Cage The Elephant,21,12,5,12
2019/11/30,10月10日,Rex Orange County,10,13,6,15
